Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2014-11-06,-0.078008,-3.081029,-3.077356,-0.781124,-0.727042,0.591617,-0.402666,-0.241347,-0.21473,-0.602321,-0.319876,-0.101438,-0.021237,-0.491197,-1.092198,-0.361605,-0.109058,0.236397,-0.199474,0.034663,-0.244091,-0.11516,0.925903,0.067026,0.173104,-0.654821,0.061295,0.018317,-0.061034,-0.174187,-0.068014,0.028405
2014-11-07,1.361096,-3.096107,-1.15703,-0.889404,-2.128957,-0.666715,-0.054513,-0.228549,-0.180197,0.387448,0.718429,0.545396,0.062904,-0.087441,-1.302429,-0.045824,-0.091608,-0.49415,-0.673194,0.060189,0.033975,-0.122478,0.619321,0.183976,0.025269,-0.467879,-0.18047,0.033281,-0.080458,-0.124833,0.050237,0.066158
2014-11-08,0.852803,-3.09047,-1.780289,-1.355763,0.060214,-0.955464,0.671697,-0.596454,-0.690966,-0.064375,1.129993,-0.098973,-0.031985,-0.125004,-1.791094,-0.314372,0.032735,0.219313,0.08313,0.186375,-0.316695,-0.230979,0.385029,0.364532,0.081531,-0.329556,-0.093607,0.04889,0.011131,-0.14485,-0.062733,0.047471
2014-11-09,-1.973192,-2.865413,-2.747315,4.383512,0.083164,3.354373,0.602467,-0.74515,-0.571274,-0.494609,0.56322,3.082057,0.018995,-1.07427,0.518959,0.059615,-0.915232,0.125187,-0.529232,0.240494,1.533621,1.060212,-0.104375,0.506029,0.363962,-0.239389,-0.00278,-0.013543,-0.149743,-0.044936,0.119601,-0.081824
2014-11-10,-2.347644,-2.912237,-1.545441,0.818477,-1.643666,1.566187,1.363479,-2.018148,0.176567,2.041253,-1.611182,-2.310682,0.548225,0.675576,0.35596,-0.751204,-0.204077,-0.041776,0.802834,-0.103113,0.494532,-0.182365,-0.054084,0.162766,0.05849,-0.315648,-0.181478,0.30046,-0.02601,-0.007433,0.199895,0.018809
2014-11-11,-1.818328,-2.946875,-0.604345,-1.227873,-0.556208,-0.126682,1.614905,-0.728871,-0.294559,-1.256878,-0.618568,-0.368148,-0.366281,0.059786,-0.018296,-0.176261,-0.084526,0.073027,0.850183,-0.228766,-0.138614,-0.419972,-0.258092,0.07426,0.262617,-0.258083,-0.26018,0.345202,0.15167,-0.04459,-0.028344,-0.018795
2014-11-12,-7.155411,-2.695311,-4.628111,2.16815,0.836815,3.310449,-0.800062,2.132364,-1.561318,1.44025,-0.803062,1.589393,2.129468,-2.024611,1.243673,0.412411,-1.319767,-1.137503,0.128647,-0.336714,-0.567904,-0.598472,-0.07856,0.125802,-0.192281,-0.078193,0.433468,-0.008387,-0.219468,0.017621,-0.279393,-0.145518
2014-11-13,-5.393062,-2.699607,-1.058007,-0.25152,-4.677168,-0.791312,-0.772254,-0.034569,0.969045,0.810982,-0.059921,1.147742,0.856509,-0.5474,0.808561,0.493853,-0.326221,0.28279,0.666645,-0.146494,0.714294,-0.608519,-0.138282,-0.018822,-0.056687,0.090753,0.436216,-0.062165,-0.411193,0.1046,-0.265359,-0.157115
2014-11-14,-1.392102,-2.866929,2.896645,-1.28587,-1.443478,-0.395895,2.050549,-0.998599,-1.816491,-1.6869,0.198187,-0.616847,-0.137401,-0.514547,-0.90889,-0.249194,0.091084,-0.506412,0.237624,-0.953537,0.449047,-0.4259,-0.146876,-0.261625,0.17057,0.192764,-0.116569,0.267605,0.344755,0.034716,-0.225964,-0.102042
2014-11-15,0.459262,-2.931825,3.097439,-0.175603,-0.584148,-0.902442,1.519435,0.165331,-1.381037,-1.270827,-0.286337,-1.143461,-1.000414,-1.009278,0.954016,-0.886733,0.11609,-0.517946,0.508373,0.538326,-0.501115,-0.406842,0.331108,0.361608,-0.60859,0.063745,-0.325788,0.425133,-0.097595,0.024261,-0.055914,-0.011124
2014-11-16,-1.24372,-2.910264,0.623168,-1.119124,1.97901,-0.887893,1.717563,-0.52348,-1.136001,-0.009041,0.632803,-0.014728,0.649343,-0.184991,0.782034,0.263702,-0.104531,-0.001137,0.818004,0.833729,0.3219,-0.206149,0.530231,0.175728,-0.343647,0.170411,-0.022085,0.346445,-0.59258,0.04742,0.068907,-0.014598
2014-11-17,-1.238041,-2.879467,0.898729,2.058816,-1.011753,2.787509,-0.29822,2.546133,-0.782273,2.853262,-0.784303,2.806475,1.318007,-0.288214,1.906179,0.713781,-1.451875,0.021377,-0.520118,1.661753,2.084717,-0.913621,-0.136375,-0.017242,0.360346,0.239601,-0.439965,0.276912,-0.107317,0.091181,0.162189,-0.028167
2014-11-18,0.874023,-2.946061,2.715078,0.199155,-0.05462,-0.663625,0.260813,0.081168,-0.325197,-1.640535,-1.209003,-1.052929,0.924265,0.825396,0.943227,1.671637,-0.138375,0.363833,0.065513,-0.266005,0.229372,-0.526804,-0.724043,-0.530304,0.540195,0.3433,-0.162359,0.292067,0.232928,-0.007794,-0.084998,-0.055277
2014-11-19,-0.270136,-2.952593,0.757686,-1.173609,1.810523,-1.046772,0.695707,-0.621621,-0.050333,0.217424,0.110553,0.044983,0.46812,0.156318,1.427696,0.457833,-0.275158,0.763082,0.806995,-0.347646,-0.323681,-0.106284,-0.307059,-0.252044,-0.056261,0.144717,-0.301214,0.23096,0.182331,-0.049406,-0.231502,0.116095
2014-11-20,3.407193,-2.966516,1.951069,3.997499,-1.194533,1.102504,-0.414832,-4.425773,0.391314,2.018219,1.525493,-0.394334,0.43368,0.130627,-0.185102,-0.587974,-0.325436,0.974671,-0.347303,0.060583,0.087893,-0.121434,0.262838,-0.158824,-0.114848,0.405616,0.238611,-0.364054,-0.25508,-0.088178,-0.277131,0.146493
2014-11-21,3.713693,-3.13708,1.765027,-0.813741,1.131242,0.772914,-0.695121,-0.359457,-1.348873,-0.555442,-0.137209,-0.253155,0.384329,-0.585573,-0.179224,-0.03647,-0.065081,0.110044,-1.115518,0.004987,0.628798,-0.244716,0.070508,-0.283201,-0.00052,0.453529,0.159097,-0.15207,-0.1249,-0.141886,-0.397723,0.092496
2014-11-22,2.46193,-3.10805,-0.605595,-1.298095,1.438187,-0.891916,-1.171333,-0.57426,0.851133,0.545815,0.168282,0.028202,0.163248,0.209992,0.1272,0.135948,-0.156347,1.397657,-0.397852,0.324839,-0.982534,0.225944,0.726202,-0.085857,-0.603119,0.351108,-0.415418,-0.306657,-0.066374,-0.066451,0.114289,0.150875
2014-11-23,-0.204464,-2.881135,-1.105004,2.916305,1.409906,0.824473,0.052357,-3.119614,1.481251,2.112142,-1.182567,-2.603865,-2.26818,-0.906211,0.328956,0.131536,-0.12478,-0.339184,-0.020071,-1.618645,0.116179,-0.273944,0.499843,0.207997,0.368072,0.897243,-0.002912,0.059158,-0.171278,0.026226,0.37599,0.125415
2014-11-24,-2.177081,-2.825115,-1.302188,3.057597,0.026981,1.127162,0.182587,0.946302,1.237256,-1.283179,-1.446961,1.340981,1.470256,1.977,0.136658,-0.361433,-0.583721,0.300632,-0.530503,0.255469,1.079314,0.283733,0.248507,-0.404944,-0.031776,0.392981,-0.22626,0.493471,0.345966,0.013242,0.137005,0.067881
2014-11-25,-1.548336,-2.88736,0.206489,-0.776215,-1.239775,-0.81335,0.862509,-0.157442,0.728611,0.543154,-0.173012,0.765474,0.006097,0.360854,0.196199,0.333901,-0.224425,-0.880377,-0.532456,-0.135632,-0.394837,0.127827,0.080007,-0.030331,-0.268206,0.219943,-0.056701,0.615757,0.175892,-0.014081,-0.17254,0.052071
2014-11-26,0.662138,-2.909735,1.342117,1.61688,-0.079824,-0.834947,-0.082004,-0.733506,0.494169,-2.699658,-0.340744,0.044717,1.408683,1.667964,-0.98051,-0.503751,-0.044451,-0.953151,-0.092836,-2.155534,0.380592,-0.113734,0.159447,0.302723,0.279003,0.499145,0.250133,0.194591,-0.074258,-0.00463,0.057729,0.037557
2014-11-27,0.003754,-2.91762,0.164713,0.74073,0.935187,-2.710286,0.39466,1.04642,0.342776,-0.544884,-0.120679,-1.405393,-0.254039,0.493372,-0.236189,0.476184,0.034275,-0.156171,1.292901,0.378499,-0.165652,-0.132778,1.770015,0.692656,0.101109,0.668404,-0.033885,0.268417,-0.009719,-0.029301,-0.004838,0.00264
2014-11-28,-1.141571,-2.914024,-0.517514,1.966161,0.602994,2.14341,0.008914,2.577516,-0.732511,1.070807,-1.276309,0.775105,-0.950545,-0.908558,-0.317383,-1.141111,-0.929733,-0.372737,-0.02711,-0.446874,1.396937,-0.644509,1.033826,0.63482,0.469416,0.327679,0.069268,0.350788,-0.018242,0.023908,0.197137,-0.102455
2014-11-29,-0.704924,-2.932265,0.007616,-1.092334,-0.847462,-1.116539,0.227611,-0.44571,0.997921,0.426448,-0.114436,0.58124,-0.066045,0.415866,-0.25053,0.192452,-0.147179,-0.995813,-0.579454,-0.220038,-0.101069,-1.023637,0.816866,0.977785,0.152985,0.18692,-0.258979,0.223005,0.104839,0.047947,0.215013,-0.087109
2014-11-30,-0.952241,-2.93727,-0.151035,-1.175359,0.487892,-0.918914,0.940378,-0.419061,0.353668,0.236375,0.223611,0.263955,-0.277481,0.448597,-0.978233,-0.146931,-0.252981,0.005216,0.443689,-0.392267,-0.158916,-0.9038,0.830157,0.790823,0.740892,0.078991,0.024695,0.290278,0.180641,-0.008799,0.033005,-0.074385
2014-12-01,-1.611927,-2.876366,-0.114132,1.068867,0.092945,0.892719,1.233217,-0.65482,0.358791,-1.507424,-0.372283,1.31769,0.553142,0.984027,0.164758,-1.907004,-0.283815,0.233209,0.046406,-0.046542,0.421523,-0.071588,0.037445,0.061054,0.043734,-0.479687,0.196227,0.552652,0.123225,-0.014407,-0.035605,-0.137595
2014-12-02,-1.468014,-2.939808,-0.220259,-0.612656,0.018961,0.764071,1.38831,-0.041886,-0.137476,-0.6026,-0.98566,0.145289,-0.416136,0.221771,-0.161142,-0.200943,-0.37941,-0.049602,0.442271,0.007659,0.06098,-0.111575,-0.127227,0.272971,0.271952,-0.929413,-0.127183,0.374527,-0.153527,-0.048217,-0.090237,0.117724
2014-12-03,0.518539,-2.916555,1.414942,1.559115,-0.323834,-2.067183,0.022189,1.59605,0.018875,0.018687,-0.43216,-0.752034,0.263144,0.304957,1.281595,1.073501,-0.272854,-0.516233,0.750273,-0.418236,0.173635,0.28169,-0.446713,0.025499,0.103089,-0.921261,-0.167956,0.177223,-0.098346,-0.035466,0.00801,0.114181
2014-12-04,1.81879,-2.921661,1.110428,2.445724,0.519102,0.750584,-1.137641,-2.903303,0.601797,-1.780824,0.800669,1.610653,-0.249808,-0.866398,0.144876,-0.032612,-0.464471,-0.813229,0.484832,-0.245307,0.143508,-0.80292,0.339545,-0.495506,-0.244815,-0.689155,0.0262,-0.073998,0.039769,-0.039801,0.156493,0.11841
2014-12-05,-0.882112,-2.789079,-0.354591,4.489639,1.273762,-1.539604,1.78228,-0.703292,1.005743,-1.453572,1.033744,0.804067,-1.294756,0.539855,-0.077265,0.588487,-0.208662,0.037357,0.014315,0.13184,0.23559,-0.038106,0.147432,-0.045632,0.089659,-0.28415,0.018582,0.431027,-0.034192,-0.019704,0.13088,0.008692
2014-12-06,0.229418,-2.906015,1.035328,0.845776,-0.312722,-3.009411,-0.084388,0.892197,0.641417,-0.465367,-0.424714,-1.236783,0.144523,0.406809,1.505333,1.128247,0.09059,-0.410628,0.626514,-0.34257,-0.312301,0.167318,-0.456016,-0.126529,0.091227,-0.419478,-0.004207,0.239087,-0.123108,-0.025349,-0.002803,-0.005108
2014-12-07,0.138227,-2.90154,-0.244004,1.545521,0.876952,-0.993389,0.418041,-1.021337,0.763346,0.418638,0.834668,0.399347,-2.802104,-1.41728,-0.09891,0.950912,-0.373652,0.59685,0.528608,-0.564596,0.306712,-0.416802,-0.99461,-1.12471,-0.754232,-0.948626,-0.015344,0.246034,0.053618,-0.042834,0.091715,-0.01458
2014-12-08,2.811541,-2.987986,0.897371,4.787821,-0.856907,1.808901,-1.18715,-0.306827,-0.797323,3.724232,0.401876,-0.431183,1.650749,0.12572,0.51708,-3.038373,-0.503676,0.106879,-0.655465,0.016677,2.195527,0.213931,0.1202,-0.045645,-0.140085,-0.253001,-0.012444,-0.275127,0.134628,-0.062077,0.018977,0.052355
2014-12-09,3.583867,-3.143413,1.243486,-0.030404,0.215523,1.618997,-1.046326,0.359205,-1.423725,0.016465,-0.325821,0.358471,0.549021,-0.730744,-0.344942,-0.085878,-0.484066,-0.184517,-0.488178,-0.060775,0.719253,0.213331,0.051404,-0.036579,0.061568,-0.164294,-0.07483,-0.011882,-0.201046,-0.124605,-0.081354,0.026523
2014-12-10,3.600185,-3.160832,0.612614,-1.465856,0.312397,-0.217828,-1.041314,-1.026602,-0.181017,-0.981068,-0.373603,-0.602278,0.183997,-0.369941,0.142299,0.009585,0.196736,-0.007225,-0.754778,0.163944,-0.265093,-0.081244,0.116732,0.072696,-0.207377,-0.015961,-0.075774,0.113765,-0.112271,-0.126447,-0.035689,-0.119503
2014-12-11,2.46848,-3.12524,-0.885329,0.366154,1.282889,1.224705,-1.2091,1.033764,-0.559178,1.708032,0.207517,1.165653,0.778317,-0.289773,0.010874,0.144223,-0.878747,1.054915,-0.024852,0.274686,0.194944,0.155338,0.310945,-0.033533,-0.069921,0.064162,-0.158067,0.039515,0.041061,-0.131713,-0.01612,-0.137982
2014-12-12,2.258005,-3.133176,-1.071079,-1.578799,0.462945,-0.241511,-1.306174,-1.052314,0.388946,-0.920331,-0.57754,-0.619484,0.030853,-0.234331,0.039867,-0.154902,0.129866,1.104452,0.371063,0.22461,0.16014,0.188607,0.096336,-0.44161,0.370652,0.644855,-0.192894,-0.153224,-0.047816,-0.130179,-0.163065,-0.244403
2014-12-13,3.001901,-3.130095,-0.065662,-1.03236,-0.489579,-0.902502,-1.169338,-0.518637,0.015866,0.463232,0.555954,0.255434,0.5717,-0.255096,0.037251,0.253891,-0.153701,-0.067135,-0.143733,0.027991,-0.676122,0.151847,-0.066017,-0.160797,0.090553,0.442951,-0.303784,-0.046652,0.005182,-0.150693,-0.290063,-0.148093
2014-12-14,1.715008,-3.081921,-1.591193,0.123695,0.776453,-1.022932,-0.569103,0.880371,-0.118254,0.863082,0.521029,-0.203374,-0.962128,-0.706507,-0.810738,-0.963332,-0.123487,0.559611,-0.178615,-0.79485,0.070701,0.052306,-0.55694,0.120667,-0.190274,0.167589,-0.164941,-0.011839,-0.11381,-0.136419,-0.210379,-0.073243
