Date,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,AdjCloseRSI14,RSI_above_80,RSI_below_20,AdjCloseSMA2,AdjCloseSMA2_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA2,AdjClose_crossed_AdjCloseSMA2,AdjCloseSMA5,AdjCloseSMA5_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA5,AdjClose_crossed_AdjCloseSMA5,AdjCloseSMA10,AdjCloseSMA10_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA10,AdjClose_crossed_AdjCloseSMA10,AdjCloseSMA20,AdjCloseSMA20_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA20,AdjClose_crossed_AdjCloseSMA20,AdjCloseSMA30,AdjCloseSMA30_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA30,AdjClose_crossed_AdjCloseSMA30,AdjCloseSMA50,AdjCloseSMA50_to_AdjClose_ratio,AdjClose_above_AdjCloseSMA50,AdjClose_crossed_AdjCloseSMA50,AdjVolume_chg,AdjOpen_chg,AdjLow_chg,AdjHigh_chg,AdjClose_chg,AdjCloseSMA5_chg,AdjCloseSMA10_chg,AdjCloseSMA20_chg,AdjCloseSMA30_chg,AdjCloseSMA50_chg
2015-07-28,-0.896442638192438,-0.8961046206923727,-0.8974769876348174,-0.8966421633704142,-0.89901725110581,0.7816196786853357,-0.22098025197335638,-0.07432941462471662,-0.8968256388503257,-0.05047189374929435,0.9388252330869361,-1.0522602699938046,-0.8972733603922006,-0.19764452393305362,0.8965825105512573,-0.5668865285600783,-0.8981423410282128,-0.49544232502537927,0.9034248560828042,-0.4353647708073435,-0.8992124738594709,-0.2649269558661793,0.8960578709152647,-0.3450997698241569,-0.9011783326223884,-0.38716939280124457,0.8721768538309488,-0.2921874554157359,-0.9059333175899077,-0.5607962407331906,0.8619417314337998,-0.22313111035990302,-0.5908760479554706,0.03222693636678213,0.5129201781716561,-0.17760427107778815,0.014481244152013744,0.6720256168010807,0.447362093133758,0.29971413432214566,0.5386304228006416,0.5980036441957655
2015-07-29,-0.896394550916702,-0.8962212148533555,-0.8977466843142659,-0.8969152610159299,-0.8990577019684385,0.41934052604342315,-0.22098025197335638,-0.07432941462471662,-0.8969396054420532,0.463523432576418,-1.0651609743294994,0.9503352245788844,-0.8972585025095453,0.22752938559159405,-1.1153463158512396,1.764021456886712,-0.8980515686662626,-0.1598656475425522,0.9034248560828042,-0.4353647708073435,-0.8991542080510457,-0.059105490032682714,0.8960578709152647,-0.3450997698241569,-0.901115789872063,-0.2252120842664926,0.8721768538309488,-0.2921874554157359,-0.9058622783891738,-0.4412739546929985,0.8619417314337998,-0.22313111035990302,-0.22526292620545327,0.01863714949611975,-0.49758382187579153,-0.2793510998743362,-0.5058665315793175,-0.046485638625930796,0.3385805863193043,0.2317933136612843,0.3231286188754248,0.5239129010538641
2015-07-30,-0.896698609970774,-0.8964645591773375,-0.8978749160239686,-0.8970207290277326,-0.8992149890102183,0.28503691413907384,-0.22098025197335638,-0.07432941462471662,-0.897129032457102,0.19343118956121366,-1.0651609743294994,-1.0522602699938046,-0.8972695442250275,0.37044826237304845,-1.1153463158512396,-0.5668865285600783,-0.8980019040312414,-0.01337575919860534,0.9034248560828042,-0.4353647708073435,-0.8991461158510854,0.013083747017916833,0.8960578709152647,-0.3450997698241569,-0.9010683915585702,-0.14956939387468404,0.8721768538309488,-0.2921874554157359,-0.9057931435956743,-0.37857435467463757,0.8619417314337998,-0.22313111035990302,-0.47134775934325246,-0.5579347499804199,-0.27170873006719043,-0.5181291584850692,-0.23494031021388112,-0.14141533600624373,0.12336597838878127,-0.12098261827033972,0.192517329226006,0.49944256386938296
2015-07-31,-0.8967781128449687,-0.8965289538761478,-0.898120116085332,-0.8971941738217116,-0.8991117486715791,0.06708856614550016,-0.22098025197335638,-0.07432941462471662,-0.897268595168369,0.30718208524831747,-1.0651609743294994,-1.0522602699938046,-0.8973605502568246,0.4994262118831924,-1.1153463158512396,-0.5668865285600783,-0.8979518076360536,0.2013933143904051,-1.1068989227681203,2.2969244804663296,-0.8991703383686673,0.10974763625888588,-1.1159993483217387,2.897712741186535,-0.9010183416101353,-0.037131824858050486,0.8721768538309488,-0.2921874554157359,-0.9057286718424398,-0.29212926828477864,0.8619417314337998,-0.22313111035990302,0.10181596484716007,-0.19283518527480886,-0.4673898640998128,-0.18502616232632557,-0.34968617225941473,-0.43461975208587106,0.12479179613422901,-0.34719445773948177,0.2136717178317113,0.44523396968987267
2015-08-01,-0.8969481961841785,-0.8967511644545125,-0.8983657802506146,-0.8973663194697264,-0.8993517657554543,-0.1414756296535565,-0.22098025197335638,-0.07432941462471662,-0.897441521985591,0.30813441832849253,-1.0651609743294994,-1.0522602699938046,-0.8974967078400251,0.5601618600652155,-1.1153463158512396,-0.5668865285600783,-0.8979269268527683,0.3951044665299721,-1.1068989227681203,-0.4353647708073435,-0.8992540829492276,0.16900370951842264,-1.1159993483217387,-0.3450997698241569,-0.9009679839665978,0.07723400524757333,0.8721768538309488,-0.2921874554157359,-0.9056681027746408,-0.205765544921496,0.8619417314337998,-0.22313111035990302,-0.6658538761968148,-0.3452096492855424,-0.474262163447362,-0.48658612067878515,-0.3506093524083849,-0.6029867727584797,-0.005544720126111138,-0.7646841564053161,0.2150365170965955,0.39986188616031393
2015-08-02,-0.8971876117833453,-0.8968560062540891,-0.8983996234398236,-0.897309125373212,-0.8994176887489927,-0.07658506519403589,-0.22098025197335638,-0.07432941462471662,-0.8974990416086541,-0.0731162581000299,0.9388252330869361,0.9503352245788844,-0.897630487333027,0.2672074093637986,-1.1153463158512396,-0.5668865285600783,-0.8978896258198299,0.37432586902016873,-1.1068989227681203,-0.4353647708073435,-0.8992810954266962,0.11370292421440494,-1.1159993483217387,-0.3450997698241569,-0.9009174551698226,0.07325281101642546,0.8721768538309488,-0.2921874554157359,-0.9056091846624666,-0.20482674076869575,0.8619417314337998,-0.22313111035990302,-0.3220019818314466,-0.4656113481937555,-0.11842057514234071,-0.2655110977510389,0.03788657616414104,-0.5983250465478392,0.058029976994440895,-0.3680403082627141,0.21517299702308387,0.37946993850657956
2015-08-03,-0.8970544276034637,-0.8967214223422671,-0.8982426576313735,-0.89738743683048,-0.8992233640479739,-0.17768375905468717,-0.22098025197335638,-0.07432941462471662,-0.8975096083054409,0.15216342275379668,-1.0651609743294994,0.9503352245788844,-0.8977251965107095,0.2435663264036974,-1.1153463158512396,-0.5668865285600783,-0.8979296883792023,0.4135088105528439,-1.1068989227681203,-0.4353647708073435,-0.8992989425854795,0.15387316352984873,-1.1159993483217387,-0.3450997698241569,-0.9008783424151358,0.1342008220748952,-1.1465564530950354,3.422460415274024,-0.9055532328728363,-0.15428778387627584,0.8619417314337998,-0.22313111035990302,0.4202739902720523,0.1685877837844305,0.2083310392176334,0.19942172083049675,-0.1930442228650268,-0.4559910423762094,-0.33843122787211505,-0.30367015444921647,0.11799928936332818,0.3451434932894602
2015-08-04,-0.8971437631299657,-0.8967079590676488,-0.8981850725226477,-0.8971621049032589,-0.8992008545154536,0.09111425700495496,-0.22098025197335638,-0.07432941462471662,-0.8974360420912469,-0.34844633305617934,0.9388252330869361,0.9503352245788844,-0.8977535536989895,-0.14309942737150919,0.8965825105512573,1.764021456886712,-0.8979494553698486,0.17246776864113253,-1.1068989227681203,-0.4353647708073435,-0.8993006910175718,0.005288272079129118,0.8960578709152647,2.897712741186535,-0.9008527588422071,0.03021601826301542,0.8721768538309488,3.422460415274024,-0.9054964468049905,-0.21693731433982072,0.8619417314337998,-0.22313111035990302,-0.08964874683282886,-0.21252539751426558,0.03713074663591879,-0.03667959011682938,0.325538649640332,-0.2078903409319986,-0.2347658906148561,-0.1900488153335765,0.004038550745496738,0.3519408091740383
2015-08-05,-0.8969390998605642,-0.8967197669953841,-0.8981698055064058,-0.8973504555481092,-0.8992930835181201,-0.16290089279645834,-0.22098025197335638,-0.07432941462471662,-0.8974175373337852,0.33474683717993786,-1.0651609743294994,0.9503352245788844,-0.8977849007986166,0.09528555451788825,-1.1153463158512396,1.764021456886712,-0.8980108416769144,0.2979928435155183,-1.1068989227681203,-0.4353647708073435,-0.899289837358238,0.1352895883737587,-1.1159993483217387,2.897712741186535,-0.900828046322156,0.1404926050247459,-1.1465564530950354,3.422460415274024,-0.9054600870594727,-0.13296441221900301,0.8619417314337998,-0.22313111035990302,-0.3600088935933273,0.29046012095119234,-0.0347662003535003,-0.08546939979983775,-0.3773544243711986,-0.2193933017115008,-0.4487224240641017,-0.10093853122877018,-0.0036043251378548415,0.13085811002813583
2015-08-06,-0.8971052825958538,-0.8969181393977811,-0.8983488870421035,-0.8975370556488215,-0.8993622746927492,-0.3996458106977219,-0.22098025197335638,-0.07432941462471662,-0.897605155572358,0.3355404480800857,-1.0651609743294994,-1.0522602699938046,-0.8978191470981165,0.3321594568778799,-1.1153463158512396,-0.5668865285600783,-0.8980963357012272,0.4011409672255009,-1.1068989227681203,-0.4353647708073435,-0.8992923983411092,0.25842670123235517,-1.1159993483217387,-0.3450997698241569,-0.900804260636978,0.25199097790751945,-1.1465564530950354,-0.2921874554157359,-0.9054257150316722,-0.048421968912153356,0.8619417314337998,-0.22313111035990302,-0.3203055062661522,-0.34147858555552085,-0.3630633920767786,-0.4457048836376609,-0.37814184273355556,-0.2305935529968056,-0.5741943856635026,-0.19577569734545353,-0.01165664080067168,0.10876683340325698
